the_geom,cartodb_id,code_rpa,description_rep,latitude,longitude
0101000020E61000004FB16A10E66352C0A359D93EE4BD4640,61,RD-TT,Réel,45.483528,-73.560917
0101000020E61000005F251FBB0B6552C049641F6459C84640,62,RD-TT,Réel,45.565228,-73.578841
0101000020E61000000BB8E7F9D36552C059A65F22DEBC4640,63,RD-TT,Réel,45.475529,-73.591063
0101000020E61000009FE74F1BD56552C0E275FD82DDBC4640,64,RD-TT,Réel,45.47551,-73.591132
0101000020E610000048F8DEDFA06752C068CF656A12C44640,65,RD-TT,Réel,45.531812,-73.619194
0101000020E6100000815EB873616152C07FA65EB708CC4640,66,RD-TT,Réel,45.594016,-73.521573
0101000020E610000091B41B7DCC6052C0F67B629D2ACD4640,67,RD-TT,Réel,45.602863,-73.512481
0101000020E6100000524832AB776252C0738236397CC64640,69,RD-TT,Réel,45.550666,-73.538554
0101000020E61000006AA4A5F2766252C0B9FAB1497EC64640,70,RD-TT,Réel,45.550729,-73.53851
0101000020E6100000C38366D7BD6352C082C476F700BD4640,71,RD-TT,Réel,45.476592,-73.558462
0101000020E610000086C77E164B6652C0693524EEB1D04640,72,RD-TT,Réel,45.63043,-73.598333
0101000020E6100000224F92AE996752C016BF29AC54CA4640,73,RD-TT,Réel,45.580709,-73.618755
0101000020E6100000F94A2025766352C07619FED30DC04640,74,RD-TT,Réel,45.500422,-73.554086
0101000020E61000006F641EF9836452C089CF9D60FFBF4640,75,RD-TT,Réel,45.499981,-73.570555
0101000020E610000011514CDE006652C030F31DFCC4BB4640,76,RD-TT,En conception,45.466949,-73.593803
0101000020E610000049DBF813956552C0821DFF0582D04640,77,RD-TT,Réel,45.628968,-73.587224
0101000020E6100000D3F4D901D76552C08481E7DEC3C54640,78,RD-TT,Réel,45.54504,-73.591248
0101000020E610000098C28366D76552C0484F9143C4C54640,79,RD-TT,Réel,45.545052,-73.591272
0101000020E61000001555BFD2F96252C0F4FC69A33AC94640,80,RD-TT,Réel,45.572102,-73.546498
0101000020E61000000283A44FAB6252C0431D56B8E5C94640,81,RD-TT,Réel,45.577323,-73.541706
0101000020E6100000CBD93BA3AD6252C084D89942E7C94640,82,RD-TT,Réel,45.57737,-73.541848
0101000020E61000004ED2FC31AD6752C0505260014CC54640,83,RD-TT,Réel,45.541382,-73.619946
0101000020E6100000F65FE7A6CD6752C0C2A1B77878C54640,84,RD-TT,Réel,45.542739,-73.621927
0101000020E6100000541A31B3CF6352C0637C98BD6CBD4640,85,RD-TT,Réel,45.479881,-73.559552
0101000020E6100000D9B27C5D866652C06CCEC133A1C54640,86,RD-TT,Réel,45.543982,-73.601951
0101000020E6100000F4DDAD2CD16652C026016A6AD9C24640,87,RD-TT,Réel,45.52226,-73.606517
0101000020E6100000BADBF5D2146652C0357BA01518BA4640,88,RD-TT,Réel,45.45386,-73.595021
0101000020E6100000460C3B8C496952C0B70BCD751AC94640,89,RD-TT,Réel,45.57112,-73.645114
0101000020E610000049658A39086752C03AAFB14B54C54640,90,RD-TT,Réel,45.541635,-73.609877
0101000020E61000005F5D15A8C56452C04C8BFA2477BE4640,91,RD-TT,Réel,45.488011,-73.574564
0101000020E6100000C98FF8156B6352C0412C9B3924C34640,92,RD-TT,Réel,45.524543,-73.553411
0101000020E6100000E1B37570B06052C01A88653387D44640,93,RD-TT,Réel,45.660376,-73.510769
0101000020E61000000EBF9B6ED96252C0AC90F2936AC74640,94,RD-TT,Enlevé,45.55794,-73.544521
0101000020E61000005038BBB54C6652C0D120054F21B94640,95,RD-TT,Réel,45.446329,-73.598432
0101000020E610000055FA0967B76552C090A2CEDC43C64640,96,RD-TT,Réel,45.548946,-73.589319
0101000020E61000007FA0DCB6EF6852C0C0CDE2C5C2C44640,97,RD-TT,Réel,45.537194,-73.639631
0101000020E61000000B24287E8C6552C01F69705B5BC44640,98,RD-TT,Réel,45.534038,-73.5867
0101000020E6100000139A2496946652C04FCDE50643C94640,99,RD-TT,Réel,45.572358,-73.602819
0101000020E610000062BD512B4C6452C06A32E36DA5BD4640,100,RD-TT,Réel,45.481611,-73.567149
0101000020E61000006F641EF9836552C0CDE49B6D6EC64640,101,RD-TT,Réel,45.550245,-73.58618
0101000020E610000029EACC3D246752C095D39E9273C44640,102,RD-TT,Réel,45.534777,-73.611587
0101000020E6100000FB5B02F04F6152C0C70DBF9B6ECD4640,103,RD-TT,Réel,45.604938,-73.520504
0101000020E6100000BBF2599E076952C040F7E5CC76BF4640,104,RD-TT,Enlevé,45.495813,-73.64109
0101000020E61000007FA0DCB6EF6352C0306475ABE7C64640,105,RD-TT,Réel,45.553945,-73.561506
0101000020E6100000AFCC5B751D6152C06231EA5A7BCD4640,106,RD-TT,Réel,45.605327,-73.517423
0101000020E6100000B2F2CB608C6852C0876A4AB20EBF4640,107,RD-TT,Réel,45.492636,-73.633568
0101000020E6100000E0BA6246786852C0B1A4DC7D8EC34640,108,RD-TT,Réel,45.527786,-73.632341
0101000020E610000063B323D5776452C0CCED5EEE93BF4640,109,RD-TT,Enlevé,45.496702,-73.569814
0101000020E61000001C98DC28B26452C01711C5E40DBE4640,110,RD-TT,Réel,45.484799,-73.573374
0101000020E610000030A182C30B6452C015713AC956BF4640,111,RD-TT,Réel,45.494836,-73.563218
0101000020E6100000904B1C79206952C08B33863941BF4640,112,RD-TT,Réel,45.494178,-73.642607
